product_id,category,price_band,product_return_rate,variant_size_mismatch_rate,top_return_reason,top_return_reason_enc,review_fit_sentiment,customer_total_returns,customer_lifetime_orders,customer_category_return_rate,will_return
p003,home_appliances,mid,0.11,0.0,defective,0,-0.1693,19,101,0.1827,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.1168,21,63,0.5476,1
p017,home_appliances,premium,0.04,0.0,defective,0,0.4011,8,17,0.4758,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.1027,12,95,0.159,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.498,28,103,0.3261,0
p001,electronics,premium,0.08,0.0,defective,0,0.2444,27,42,0.6125,0
p019,home,premium,0.08,0.0,not_as_described,2,0.3886,19,79,0.3197,1
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.0279,21,90,0.3619,0
p013,apparel,mid,0.19,1.0,wrong_size,1,-0.2994,0,93,0.0,1
p018,electronics,budget,0.05,0.0,defective,0,-0.0009,9,91,0.1293,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.0096,19,61,0.4014,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.237,7,15,0.4857,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.0802,24,93,0.4041,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.2519,30,58,0.8943,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.2488,14,81,0.2163,1
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.2529,18,47,0.3091,1
p008,electronics,budget,0.13,0.0,defective,0,-0.1286,2,68,0.0305,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.2225,7,68,0.1655,0
p019,home,premium,0.08,0.0,not_as_described,2,0.2169,14,108,0.1107,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.0589,25,39,0.6722,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.1403,7,17,0.5119,1
p011,accessories,mid,0.09,0.0,not_as_described,2,0.0885,2,99,0.0333,0
p009,home,budget,0.15,0.0,not_as_described,2,0.4412,5,54,0.0743,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.2747,22,116,0.3405,0
p006,home_appliances,mid,0.09,0.0,defective,0,0.2984,30,38,1.0,1
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.2359,16,84,0.1824,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.1557,21,52,0.4861,0
p014,electronics,premium,0.05,0.0,defective,0,-0.0469,2,56,0.052,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.06,7,41,0.2042,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.22,0,59,0.0,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.0044,4,49,0.1372,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.1437,19,103,0.2451,0
p005,electronics,premium,0.06,0.0,not_as_described,2,-0.1756,8,23,0.5877,0
p007,apparel,mid,0.07,1.0,not_as_described,2,-0.3115,6,94,0.0915,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.2972,2,84,0.0291,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.1487,5,100,0.0621,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.1815,17,22,1.0,1
p010,home_appliances,budget,0.1,0.0,defective,0,-0.1004,28,34,1.0,1
p016,sports,budget,0.06,0.0,not_as_described,2,0.3917,19,115,0.1577,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.0343,28,81,0.2851,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.3977,8,29,0.4379,0
p004,apparel,mid,0.28,0.0,wrong_size,1,0.0713,26,85,0.3517,0
p015,beauty,budget,0.04,1.0,not_as_described,2,0.3187,12,55,0.2353,0
p011,accessories,mid,0.09,1.0,not_as_described,2,0.4016,21,90,0.2639,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.3291,1,15,0.0931,0
p011,accessories,mid,0.09,1.0,not_as_described,2,0.0488,12,86,0.1382,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.0358,11,67,0.1428,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.0391,23,62,0.4849,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.2985,6,60,0.1465,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.1319,12,83,0.2362,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.0785,14,71,0.2449,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.1954,21,32,0.7112,1
p016,sports,budget,0.06,0.0,not_as_described,2,-0.2805,21,61,0.3527,0
p009,home,budget,0.15,0.0,not_as_described,2,0.2747,14,68,0.3471,0
p009,home,budget,0.15,0.0,not_as_described,2,0.3884,4,88,0.0676,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.0716,7,30,0.3743,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.4903,14,32,0.7006,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.4255,19,112,0.287,0
p013,apparel,mid,0.19,0.0,wrong_size,1,-0.5227,14,48,0.4526,0
p009,home,budget,0.15,0.0,not_as_described,2,-0.0826,8,65,0.108,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.2651,4,24,0.1719,1
p019,home,premium,0.08,0.0,not_as_described,2,0.0361,17,77,0.2684,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4542,27,125,0.2971,0
p019,home,premium,0.08,0.0,not_as_described,2,0.4182,17,113,0.2309,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.3385,15,19,0.9386,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.4255,29,46,1.0,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.1546,2,85,0.0289,0
p006,home_appliances,mid,0.09,0.0,defective,0,-0.0774,14,56,0.2844,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.2583,26,37,0.8926,0
p002,apparel,mid,0.22,1.0,wrong_size,1,-0.5527,24,108,0.1867,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4582,7,24,0.3715,0
p010,home_appliances,budget,0.1,0.0,defective,0,-0.2084,5,83,0.0848,0
p003,home_appliances,mid,0.11,0.0,defective,0,0.4264,18,22,1.0,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.2185,2,78,0.0382,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.0427,25,98,0.4037,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4686,0,54,0.0,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.4724,22,42,0.6472,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.0422,14,70,0.3251,0
p008,electronics,budget,0.13,0.0,defective,0,0.1883,28,86,0.3399,0
p012,electronics,mid,0.1,0.0,defective,0,0.3383,27,69,0.3842,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.1069,17,19,1.0,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.3343,22,83,0.3833,1
p013,apparel,mid,0.19,1.0,wrong_size,1,-0.3267,22,54,0.4507,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.1156,11,101,0.1365,0
p003,home_appliances,mid,0.11,0.0,defective,0,-0.1468,23,92,0.4377,0
p010,home_appliances,budget,0.1,0.0,defective,0,-0.0582,3,28,0.1175,0
p007,apparel,mid,0.07,0.0,not_as_described,2,-0.6737,1,8,0.1692,0
p009,home,budget,0.15,0.0,not_as_described,2,0.0524,27,29,1.0,1
p008,electronics,budget,0.13,1.0,defective,0,0.0934,30,92,0.2981,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.2319,4,24,0.2685,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.1181,19,96,0.3148,0
p019,home,premium,0.08,0.0,not_as_described,2,0.1968,27,103,0.4692,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.2283,30,128,0.2362,0
p020,apparel,mid,0.24,1.0,wrong_size,1,-0.2062,2,23,0.0698,1
p007,apparel,mid,0.07,1.0,not_as_described,2,-0.1126,22,59,0.5604,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.4267,13,28,0.6243,0
p001,electronics,premium,0.08,0.0,defective,0,0.437,5,45,0.155,0
p019,home,premium,0.08,0.0,not_as_described,2,0.095,22,74,0.5181,1
p012,electronics,mid,0.1,1.0,defective,0,-0.1169,23,65,0.4967,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.3105,24,111,0.3506,0
